VOICES_ID_NO,DOC_SERIES,DOC_REF_NO,PLEADING_TYPE,LONG_TITLE,SHORT_TITLE,GENDER_CODE_PLAINTIFF,GENDER_CODE_DEFENDANT,DATE_RANGE,THEME(S),PLEADING_TEXT,IMAGE_LINK,FREETEXT_NOTE
,A,006,Bill,"Richard Asboll of Killenyn, Co. Dublin and Margaret Walsh his wife v Gerald Walsh of Carrigmaine, Rose Asboll of the Litell Newtowne widow and others",Asboll v Walsh,MFJP,MFJD,,,"To the right honorable the lord chauncellor
 past humbly sheweth vnto your honorable lordship Richard Asbell of killenyn in the countie of dublin gent and margaret wallh his wife eoghter hesome
 filie walsh late of killenyn aforsaid gent deceassed that where the said william was seed in his demesne as of fee of acastell with ahall adioyninge to the
 est ende thereof sevin mesuages fortie acres of arable land and one acre of medowe with thappurtenances in Dalkey within the said contie and so being seised thereof
 ied seised after & by whose death the said tenementes discended vnto the said margaret wassh as eighter & heir vnto the said william by vertue whereof your
 upprtiantes in the said margarete right entrie into the premisses & thereof were seised in their demesne as of fhee vntill Gerald walshe of Carngmayne Ros
 Astotr of the litell newtowne widowe patrick in dallo Intrickt in Thomas & dougghe in Ewyhlor of dalkey aforsaid husbandme & Edward Asboll of Sampellcarrig
 gent worongfully entred into the premisses & your suppliantes thereof did disseise and the issues & profictes thereof have converted to their vse to your suppliantes damages of
 last And forasmoch as sute dependith preently in this honorable courte betwixt the said Gerald walsh & Rose Asboll for the said tenementes neether of the having
 right to the same) And that your suppliantes havinge this instant terme sued proces against the said Gerald & others oute of the quenes bench to thend to prsecute acaion
 against them for the said tenementes an Iniunction was directed from this honorable courte vnto the comaundinge them vpon agreat payne no further to prosecute action
 in that courte It may please your honororable l to let call the said Gerald, Rose, patrick in dallo, patrick in Thomas, Powghe he Edward before, yot Anwere to the
 premisses made indelayedly & therevpon your honor to take such order as to equitie aperteyneth And your suppliant shall pray &c /",13_JUNE_24,
,A,009,Bill,Richard Barnewall and Katherine his wife v William Eustace and Ismay his wife,Barnewall v Eustace,MFJP,MFJD,,,"e the tid Ceorlore
 hare Ceewyll of Stalen gent & kntrene
 smifte T efendnts to Swane walshe of ballebieren in the
 countie obe Th san Thirdeaths hyff tyme & at the tyme of his dete
 as Justly thosu ochattesIncioned in the cedule hiervnder witten
 & so beinge possessed den Aose deecthe dnd ysmay falbot late wyfl to the said Owen
 then vidue tookes thed or of all the goodes & chaceles of the said Owenhawinge yeree
 with hir in the said admynistratie the said Enteene & geue together with other the childiene of
 the said Owene being then infantes who did neuer admynist any the goodes of the said Owene
 but the said ysmay hawinge onely admynistred Received & taken in to hir handes all the said
 goodes & clatteles did mynist & convert the same to hir vse & the said yswayhyinge taken
 to husband one william Eustace of dondingsts in the countie of hildare the same wiliam I his
 said wyff hawing & conertinge the sayd goods & clattele Rother prope vse badmynistring
 the some denyethe to geue your Orator ther seuerall chiles porties of the said goodes and
 chatteles dmounting to the some of tow hundred poundes to ecle of your Orators and haue
 comuerted the Rentes & proffittes of the ffermes & chatteles vnmoveabl of the said Owe to the
 proper vse of the said william & ysmaye beinge worthe yerly by Resonable estymation abow thyrtie
 poundes wherof also your Orators are to haue ther Reisonabl portis of yers yett vnexspyred
 of the same to ther damages of fyvyndred poundes In tender consyderatior wherof & for as
 muche Right honorabl as the said ysmay talbot & william hir husband are of aret alyans and
 frindship in the said countie of dublin wher the tryalle of the cause Restethie by course of
 comon lawe & your Orators poore & not abl to trywith them & also for that the tryall of the
 said cause ys most apt befor your honor that yt will please your honor to grante hir maiestes ort
 of Supena against the said william & ysmay to answer the premisse & they shall pray &c
 Herafter dueth an Invetary & not of suche gper & chatteles moveabt
 To vnmobeabl as we walshe of ballebrenan bat decessed was possessed
 of at the tyme of his deathe
 Inprimis of ballebrena with thappurtenances keinges and Spord and conteyning seuesie
 akes worth per annum xxx£ the terme being iiij & one yers
 Item kylbegot xl ac for the same yers worth per annum vj£
 Item kilpole for viij yers after the dethe of the said Owene being worth per annum xij£
 Item towhorses prise euery orser
 Item in plow garrans xiiij garrans prise euery garron
 Item kowes thirtie prise euery cow 2
 Item in sheppe a hondred & fortie prise euery sheppe
 Item swyne fortie prise euery swoyn2
 Item thirtiet compl of Corne priste euery compl ⁁
 Item thre ong panes prise euery pand2
 Ihm how geet braske potes perrise euery pott 2
 In lyetke brasse pott pryse2
 tin one brasse bell prise2
 in thre spyttes prise duery spyt 2
 one payer trames prise2
 payter trippetth prises
 offers prysse euery Coffer¬
 highed price euery wich 2
 kaddowes prise euery kadow
 blanketh sewen prise euery planket.
 ixliij payer of cheth prise euery payer2
 In tho bord clothes prise euery bord clothe
 of tospet prises
 ntoo fedder bedes prise euery bode
 Item thre flok bedd prisenr ald
 It seve hywes of bees prrise euery hywe2
 Itystorby henes & kokes viij prise euery of the
 Ituspesse tene
 Itushens xxxprise euery hend2
 kapones viiij prise euery kaps&
 Item hagart r coupres prisenery complt
 Itiyharnes & plowecens for tow plowis pryse eves
 ty on harnes of Gewttes wise
 Jm viu Bondelstykes prmyse every Endelbr t
 in the ftres sale pryse",13_JUNE_24,
,A,011,Bill,"Thomas Barnwall and Marie his wife v ? John son and heir of Edmond Nugent of Rochonel, gentleman",Barnewall v Nugent,MFJP,,,,"To the Rith honorable Adm Sconnt Loslis of Ely l: Cauncellor of Peland
 Humblie complaininge sheweth vnto your ordship sh your daylie orators Thomas Barnenell and Marie his mifer that whereas one John Nugent fon and hede to Edword Rugent late of Kyonell gen aman of Jarester
 and ywards of land and Jeuenenes by the yeare did about three yeares since most ernestlie and importunatlie for halfe aygeares space together master of the fleighes allwement and Pollicie he could Deuise as well by triste
 ofte frequent mediation of freinds as also by follenme youes and protestacions of his sinferitie and pure intentious hyllicite the said Marie in private towe Contracted to hem the said John in Mariade and after to yeald to be
 bedded with him as his wife math she the said Marie denied to doe before a Marrieage were follenmised betwene them in the taie of the Church and her paynts and Greindes made acquainted there with to which the said John ~
 answered that his wardshipe was ther in question and if it were knowen puttiblie hee were married the value of his Mariage dable in was aboue Jowo siee should be exacted of him and to avoide all suspition of
 fraude and Collusion of his parte and todrawe the said Marie to hamstronger confidence that his meaninge and purpose was sucere plande and honest he contrasted himselfe inpriviate vnto your maietie and puymaed to that purpose in
 tim the said Marder
 confieinacion thereof the visuall forme of words of Matrimonie de presenty vnto her and deliuered the same in substance vnder his hands writinge vnto her the said Marie as a further pledge of his ffith and prmise andinge manie~
 Lallinable other that he would performe all what she the said Marie desired in foleine and publike manner with all contveient Excredicion and that she was his wife before god And thereppon under these his spetions pretences and wiᵗ his
 importunitie and othes she the said Marie beinge then vnder it yeares of age and weake af iudgement and knowledge was at leianth wonn and sedused by him the said the beinge confie Outlie perswaded the said John would accompte
 and performe his tmes and promises to her and that all this tugether with his said hand mritinge would binde him as wellrs lawe to beher husband as it did in consciens;: And so she the said Marie feelded to his will as man and wife
 and exhaluted with him the said John in secret without the privitie of her freindes vpon the follours before alleged for a band sin Monthes space duringe in time the said John begott an her the said Marie asonn whem he after cause
 to be Christyed and named Edmund after the said John his fathers name in all in space hee the said John mentie said and affirmed seuerall persons that the said Marie was his lawfall wife; and said often times that shauthieth deed
 bringe herhome to his owne house and that she should not be beholdinge to any ofher freinds neither did hee rehard her porties mifferment any may as hee then protested But now so it is mayat please your good lordship that the said John
 eingent about tiio yeares and more past not haueinge the feare of Almightie god before his evers hath out of Sceshive Covebusnes and greedie desire of kicree and gaine contrarie to his fuleinne othes and hanes and
 to all iustice equitie conscience and Common honestie Married with the daughter of Sir matter Longan Bardnett wish whom hee hath or is to get the sume of Coonstes a a Marriage portion, And left the said Mare
 and his said soame ingreat distretes and misery although the the said Marie might haue hadd before his mistorfortyne hapned to her seuerall beter prefermente then the said John was or is whereof shee by this difaste
 and his the said Johns micked practise was not onlie vtterlie eprived but also was and is thereby in so greate disqace and distafte withher poients and freinds as they all haue euer since lothed her and defused to giue
 her any releife or meanes so that she and her cheild begotten by the said John were these tino yeares past and arestill destitute of all meanes and leulihood And also the ffather of your orator the said Thomas refuse
 absolutelie to conferme anie estate or him the said Thomas or to alloie him anie meanes in regard about halfe ayye past hee Married with the said Marie that was so disppaged and blemished by the said John as
 aforesaid fo that hath your said orator are like to fall to greate distresses and miseries if your lord will gat i pitti dnfford them fom releife nequitie againste the said John in this Honorable Courte And fir they fithe
 Right honorable that the said John Nugent about ad yeares and more past did of his owne accorde and by the hopasion of divers of his Cheitfell freinds subiect him selfe to the order and ar bityare of Themnes
 Barnewall of Robertston hrother in law to him the said John and Thomas Augent of Trogh dae Aldedman Suable to him the said John and did assent prouis and agres to paie vnto the said Marre such atinme
 and summes of money as the said Thomas Barinewall and Thomas Nughnt ould order the said John shauld paie in recompence of her godat wronge and disgrace aforesaid And therevpon the said Thomas
 Barnewall and Thomas Nugent did vnder theire hands writinge order and adward that the said John should paie vnto the said Marie the sume of 40£ sthir att certaine daies nowe longe since Past as by the saide
 Order redie to be shewen more plainlie appeareth the william Order the said John by his voluntarie booke othr pused in thers and others presente to performe in all pointes and yett hath not observed the sam mam pounte
 besides that the said John promised after the said Order was made to aiue to the said Marie of his owne fetree ft when soeuer she the said Marie were Married afarr greater sume then that which was ordered to her
 as aforesaid, And your orator further sheweth that the said John Nugent puther the said Marie by his not performance of the said Order to parterordinarie travell charges and expences by makeinge seuerall wrines mithe
 Danger of herlife for this cause And also made her by contynuall faire promises to delaie this her suite against him this two yeares past o the damages of your said orator in the right of her the said Marie a asone Jaster
 his
 ouer and ahoue the said order And for as much as your said orators in the behalfe of her the said Marie haue often tises requested the said John to satisfie vnto them as well the summe of hster surrent money of England &
 in liue of her preferment which by the said John his intollerable fraude and wronge aforesaid she hath lost, and which sime the said John hath peceaved as a Marriage Northin with hamanish as aforesaid as allo
 ftermore of like money in damages for her said disgrace all with the said John hath retused and still refuseth sotoda contrarie to all good Consiones to your said orators losses of aboue &0£fter and for that shee is
 informed that the said Contract in strictnes of lawe doth not now binde him the said John inregard be is Myried as aforesaid whereby the said Contract is quitt defeated and that nom onelie shee can receaue
 but a sume of money in Compenfation and recompence of the same and her damages aforesaid And for as such as by the vsuall ractise in Eilgland and beyond leases by fenall presidents in this kinde it~
 appeareth that where any person after aformer Contract responsalls made with one woman where vpon he hath howledge of her bodie and ofter Marries an other woman and getteth oagood portion whith her the partie wrnged
 recoueth the full value of the said portion so pceaved by the delinquent with &terordinarie damages for the disfrace them is thenow exrresy case of your said oratrix the said Marie terefore she humblie Craueth your lodship
 the tole satisfaction in the same kinde And abso forasmuch right honoaiesl as the witneses which were present at the said contract are nony deade by reason whereof your said orator cannot fullienprone the said Contracte accordinge
 to the strut yules of the lawe nd le it the custoument vnder the said John his hands writtinge aforesaid ith promes the said contract is testified hy no other witnes then the said John himselfe which onlawe is not sufficient with
 out good proofe vr by the said 58n abledmist dieobeed nes whee of your said orators be without remede hi the lawes of this Realme haue onelie in equitie in this honorable Courte And for that vpon anisue to be
 thed of the premises at teer or uml ty defendent tary in any Countie within this Reasume letwixt them and the said John niregarde of his alliance acquaintance and trindship aeueralie spredaund
 aid was said stranglie on this nee humblie praie your good lordshito reteeue them in the Right of her the said Marie in equitie in this honorable Courte And therevpon to he pleased to graunt
 n thein his Maiestes most gratiue t edid h eondat Engent commaundinge him thereby forth with to satisfie and paie vnto your said orators in the right and behalfe other the said Marie
 in the said summe of n to o dond nd as aeaine therein to be limited to make his personall apparance before your lathanslwere the premises and to sett forth in his said
 orhalse hithe Ahis defenant pasiages and Cirmnistsunes thereof to his knowledge and there and that toabue and yetorme such further order and v
 d this honorable hupte to stand iith equitie and good Crng and they will euer prase tht",13_JUNE_24,
,A,012,Bill,"Margarett daughter of Thomas Barnwall late of Bleestown, gentleman, v Simon Barnwell",Barnewell v Barnewell,SFP,,,,"To the right honorabe the s Lo Chatrister
 Hummblie shewth vnto your honerable good Lordship Marearett Barnewell ayong maiden of the adge of xviij yeers dawghter to Thomas Barnuell latt of Boleestocon gent, that whras the said
 Teromas Barnwell in his own lise tim vz soow yeers befor his death being in a dead palsie not like long to live and having afatherlye care of your supliante concaion and preferment
 & mariadge bargayed concluded and agreed pand with one Simon Barnwell of Bublin. Sadler vz that he the said Thomas and his assignes shold deliver or scowse
 to be delivered vnto the said simon shold keep your supliant in corvenyant meat drick apparrell and scoling vntill your supliant shold bennaried and att the day
 the fullson of forcie Oise and that in consideracion therof the said Smon
 of con supliantes mariadg to pay vnto your supliant the said som of fortie powndst after hich agrement the said thomas during his lif time delivered and payd
 and howsed to be delivered, and payd vnto the said simon was and ur many in goods or in pe Corn in Cattle braff and in mony the Realue of xxx£ stenward
 oul oe said agrement and died the third day of ffebruarie in the yeer of our lord god 2593 and the said dimon did keep your Lordshipp butt one neerafter the
 and gaye your suppiant butt one cortighwas all ther charg the said Siman wass att wich your supiant after the said agreement who afher the death of the said Thomas wold not picij of the said pecre
 mede
 said agrement forasmuch as he was nott fullie satisfied of the said xl£ And the said dimon from that im hitherte hath converted and terned the
 syd of xxxt vnto his own proper ye and behelf withowt giving any maner of consideration vnto your supplant ore restoring the said mony vnto your suplt
 lxohhe the same to do hath refused often times ben requested vnto the vater vndoeng of your suppliant being butt acere infant and having no otheremone
 pyn
 of miintainance ore preferment then that litell porcion of hers in the hands of the said simon and to damages Oxx marke sterting The primes
 sidered and for as mucth as your sufit hath srall remedie att the comon lawe noy his please & your supiplant to adward her mattier wrnt of suppea f
 said Simon to satisfie and pay vnto your the said som of xCxC£ together with her darnges befor fecyted or otherwise trmall his pisonett agetan
 suppliant
 for your lordshipp to shew sufficent cawse to the contrarie And your supliant shall praye
 A subpena r imodiat",13_JUNE_24,
,A,015,Bill,"John Bath of Ballegriffin, Co. Dublin and Barbara his wife v James fitzGerald of Taghdowe, Co. Kildare",Bath v fitzGerald,MFJP,,,,"To the Rigt honrdr the
 Lo: Chauncelor
 In humble harner sheweth vnto your honorable Lordship John Bater of Bullgriffeen in the Countie of dublne gento
 and Barbara Bath his wiffe, lath wifte vnto William Goughe of dublne Aldermann deceased, that wheras
 one James ffitzgeald of Tughdowe in the Countie of huldare gent became bownd to the said Barbara
 by the suamme of Barbara Goughe of dublne afforsaid widdowe in the some of fourescore poundes Curraid money
 in Eengland as by his bill or bound obligato dulie perfected, bearinge date the 20ᵗʰ of Julie 1604 and Reddie
 to bee shewed vnto your honnorable A plainie shall appeare, for the payement pose fortie one poundes, thirtene shilling
 foure penc ister Currante money in ngland to the said Barbara her theres executors or administrators ⁁
 whearof he was to paye twentie poundes att xvppon the seavententh daye of marche next in weinge the
 date afforsaid, and the other twentie one poundes thirtenne shillinges fowre pence by or vppon the xxiiijᵗʰ
 daie of June nexte ensueinge the said marche, Soe it is Right honnorable that howe be it the said
 Barbura hath often tymes duringe this viduntie and the said John & Barbara hath alsoe often tymes
 after their intermarradge Requested the said James to paye them the said money he hath and doth still
 deny to pay them the same to theire plosses & damages of twentie poundes str maie it therfor please your
 good in soe much as the said ffitrgerald is soe allied and ffrended in the Contrey amongst Common
 Jurors, as your supplant Cann hardlie hae Right achaiiste him by Cource othe omon lawe to grant vnto
 yu supplates his Maiesties moste gratious writt of subpeana to be derected vnto the said ffitegerralde
 Comaundinge him theirby to make vnto your suppliantes presente payement of the forsaid xl xiiij n
 leand
 trwise to make his Indelayed apparannce befor your Lrdship in his Maiesties high Courte of Chauncerie to
 showe sufficient Cause to the Contrarie & your suppliantes shall pray &c",13_JUNE_24,
,A,025,Bill,"Margaret Brennan of Thomaston, Co. ( ) v. Anastas Strong",Brennan v Strong,SFP,SFD,,,"To the right honorable the l chancellor
 complayneth vnto your honor margaret Brenay of Thomaston in the countie
 hiam that wheare Sir Richard dobin late vicker of Chomaston aforsaid beinge
 o ha certeynne fearnes within the said Towne made his last wyll & destament and
 ssed as legacie vnto your Suppliant amongest other thinges the third parte of
 a house
 tat an rchard in Thomaston aforsaid which he had in ferme for yeres yeat
 ut eded is right honorable that the said one dseas stroe of Thomaston aforsaid
 vd wo entred vnto the said third parte of ahouste and Richard and the same wrong
 fully do yeat ipe & detyue from your on suppliant with the yssies & perofectes therof to
 your pore suppiantes damages of x£ said for a smore as sheis very por and vnhable any
 ay to prosecute suyte in the spirituall courte or elswhere for recouerye of the pre
 she moste hmbly beseche your honor to grant her maiesties wrytt of subpena to be directed
 to the said bysdes for her apparann before your honor withen fyve dayes after the seih
 therof to aunswer herevnto, And theirevppon to dsuche spady ordertaken as he
 supplyant may that with she ought to haue of her and yor por Suppliant shal
 sayly pray for your honor in felicitie long to contyne /",13_JUNE_24,
,A,028,Bill,Joan Browne of Baldonnan widow v Thomas Luttrell and George Greame,Browne v Luttrell,SFP,,,,"To the Right honnorable the lo:e Chauncellor
 In most humbs wise Complanying sheebith to your good Llordshipp your wrongede petityner, Jowane Browne of Baldenman
 widdow Thate where as Jenuett dame Plunckett in her widdowed paste an estate for tearme of lyffe to your
 dratvice. The ffarme of Balddiman wherein your supplyant sowede her wynted Corne and was prevented of sowinge
 her Byrche by Reasone the said Jennet dame Plunckett diede be fore Candelmas and the Revertion descended vppon
 one Thomas luttiell of luttrelsonne Esquier / with whome your suppliant Compounded with h sai s for sowinge vs
 her Byrche. to pay him ix£ xˢ which some your suppliant hath deliuered him, and further agreede with him, That in
 Respecte hee did demyse vnto her in Easter Anie domini 2598 the Recitede premysses with ther appurtenances for and during
 the tearme of one yere from that day fully to be Compleat and ended paing for the same xviij£ st with this further o
 grement, / that in Regarde your oratrices Cropp was vppon the grounde : and her tearme beinge expirede / The
 lawe gaue your suppliant is Remedie to Cutt her said Cropp wherevppon in Consideration of the said some of xviij£
 which was a highe Raisede Rfente for before your petitioner pade but ix£ The said Thomas faithfully asumed
 all Reade paies
 and promyste, that your supplyant for the mychalmes Rent follovinge shulde be discharged and quytt & and peaciably
 shulde Carrie a waye all her Corne, and Cattle which vppon his Oathe hee Cannot deny But so yt is my
 veary good lo: That thepsaid Thomas meanying and intendinge the over trove of your petitiones haue demysede
 the premyses to one George Greame Capetaine, for and duringe the tearme of Three score, and due yeres whoe
 at easter lest
 by the synnester means and vncontionabl practise of the said Thomas luttrell hathe distrayned sevye Cowes
 pryse x£ of your petitioners to her domage of fforty poundes which neather by lawe nor Conscient he Could
 doe for the state of your petitioner beinge determynede no distresse Coulde be takene for the Rent, And
 albe yt your sippliant hathe Requirede the said Cowrse of the said George greane, yet throughe the Corrupte
 perswation of the said Thomas luttrell hee detaynethe them for the supposede Rente due to the said Thomas
 as servant and Bailye to the said Thomas And for asmuche Right honnorabl as your suppliant is no waiesable
 to true with the said Thomas and Geoage at the Comon lawe by Reasone of the alyance amongest Comon Inor
 and ther voyde of all hopp to Recouer her Cowes vnlesse your honnor pittie her distressede estate, The
 premysses considred : maye yt please your honnorabl good lh to direct your Comaundement to the said Thomas
 blattrell and George Greamen Comaunding them vppon sight therof to deliver the said Cowes to your
 petitionlr, or otherwise to appere presently and sheowe Cawse to the Contrarie / And she shall pra",13_JUNE_24,
,A,038,Bill,"Thomas Cantwell of Cantwells Court, Co. Kilkenny and Margaret FitzGerald [DP Marye fitz Gerralde] his wife v? Walter Sherlock",Cantwell v Sherlock,MFJP,,,,"To the ragu Honorable the Lichncber
 Humblye sheweth vnto your honnorable lordshipp, Thomas Cnewelles of Cuntwell is Courte in the dyuntie of Ha a gentel
 and Marye itz Gerraled his wife that where they were seased in their demesne as of fee of a stone howse a barnd
 a gardin & an acre of lande in Thomasto in the Countie of Bilbery. So it is that whalter herlore of Thomaber
 aforsaide merchante wrongfulli entred into the moitie of the said howse barne & gardin & into the said acre of land
 and your suppleantes therof did disseise and the issues & perofictes of the same hath taken and Conveeeng to his vse to your
 your suppliantes damages of ten pound. And forasmuch as the said walter is of the Chiefe burgests of the said townes
 well alied & frendid ther, wherby your suppliants are not abled to trye with him at the Common lawe And that
 the said Countie in the remote partes whence ordinary tryall may not be had without greate difficulty That ith
 may pleas your lordship to grante her maiestes proces of subpena to be directid to the said walter Comanding him vpon
 a Certaine payne to make his personall aparance before yo in her maiestes high courte of Chancery the firsth daye of
 the next Trinitie tearme to make answer to the premisses. And thervppon your hounor to take order as to Justice
 aperteyneth : And your suppliantes shall praye",13_JUNE_24,
,A,040,Bill,"Joan ny Cormick, widow, as tutor of Barnaby Quyn her son a minor aged 3 years.",ní Cormick [Quinn] v O'Ferrall ,MFJP,,,,"In most humble and vittifull manner sheweth to your honorable Lordship your poore oratrix, Loan
 n dowe, for her self and in the behalf and as Intrix to Barnaby Quyne her sonne beinge of te
 of three yeares or ther aboutes, wher her late husband Melaghem Cquyn in his lishe
 seised in his demeane as of ffee of Tenecrosse and balleishand in the County of Longferpor and
 beinge seised thereof died seised after and by whose denth the same discended to the said Barney
 his sonne and heire, So it is right honorable that one ffergasse Offerall of Timelick in the sayd
 County esquire of his extorte power after the death of the said Melaghlin entred in the said
 tentndes and thereof disseised and theuse out the said poore enfante and your supliant his tistrix and ⁁
 not permitte your syptiant to haue a epird parte thereof where vnto shee is entitled in way of dowef and
 thogh her said husband did by his laste will and testament dispose and leave vnto hor the said
 TeneCrosse duringe her life by meane wherof your poore Oratrix hath nothing lefte her self
 and her three poore yonge Children and much lesse to mayntayne sute by Course of Common lawe or an
 other lawe, but onely relienge to your Llordship graciouse furtherance being the stay and Cheif protectors of
 wodowes and orphans. That therfore it may please your honor in way of Charity to lett Call
 before you the said ffargusse Comaundinge him to geve and restore the possession of the said
 landes to your supliant or els to aunswere to the Contrary And shee shall prayse",13_JUNE_24,
,A,050,Bill,"Edward Clynton of Drom Cassell, co. Louth, gent. and Elizabeth his wife v Richard Cashell of Dundalk",Clinton v Cashell,MFJP,,,,"To the right honorable the L. Chauncellor
 Jgnost humble manner sheweth vnto your honore Edwarde Clyntoue of dron Cashell gente and Elizabeth his wife toe
 of dundelke merchaunt, and Jennet his wege, Richard westone of dongeine gent and margaret his viste and bathrdd Catoes as
 dundalke doughters and sole heire to Steppen Cusshell late of dineralbe aforsaid gent deceased : That whearbe th
 Stephen Casshell ther father was seid in his demesne as of fee of certein houses landes and other heriditimentes with yu
 the townes and feildes of dunealbe aforesaid and Carlingfourde and els wher in the said countie of Touthe to the yearelie value
 of one hundreth markes currant and lawfull money of Irland died therof seie without issuemale of his bodie Tawfullie w
 begotten after and be whose death the right of the premisses defended vnto the said Elizabeth Jennct Margaret and
 kathren as doughters and sole heire vnto the said Stephen : so it is right honorable that vpon contreuersed tetwen t
 Richard Casshell of dundalke gent and margaret howthe of the same viddowe mother vnto the said Elizabeth Kiest Nare
 garet and kathren for som porcione of the said landes, the evidence Chartors invninentes and writinges towching the said
 landes remayninge in the Custodie of the said margaret howthe to the dye of her said doughters as here vnto ther said
 father Stephen Cashell was by your L. sequestred into the handes of walter Plunkett one of the officers eof thir
 honorable court for as muche as your suppliant doe not know the certeintie of the said Evidences shartors neinentes
 and writinges nor the oryginall title of ther said father vnto the said landes without the yen of the said
 Evidences chartors nnimentes and wrytinges which to them doe belong and apperten as heire vnto ther said father
 and without which they cannot recouer the said landes altogether without aiue recompenc right or title ongnes
 deteyned from and out of ther possessione : It may therfor pleas your honor to contine the said Jequestracione
 till your suppliant be made priuye therto and till your honor be fullie Instructed to whom of right they appertent or
 belonge, and that your honor doe tack suche furder order for the same as your suppliant may haue what belogge
 vnto them of the euidence chartors, invinmentes and wrotinges wherby they ay the better vnderstand therwot
 said
 vnto the said landes and recover the same And your suppliant shall dailee praye ore",13_JUNE_24,
